Size, Threads, Seq, Par, Libc
100, 0, 0.000024, 0.000345, 0.000035
100, 0, 0.000040, 0.000325, 0.000034
100, 0, 0.000024, 0.000328, 0.000035
100, 0, 0.000025, 0.000319, 0.000034
100, 0, 0.000024, 0.000341, 0.000034
100, 1, 0.000024, 0.000465, 0.000031
100, 1, 0.000024, 0.000482, 0.000034
100, 1, 0.000024, 0.000443, 0.000032
100, 1, 0.000025, 0.000479, 0.000034
100, 1, 0.000024, 0.000499, 0.000034
100, 2, 0.000024, 0.000850, 0.000034
100, 2, 0.000024, 0.000705, 0.000034
100, 2, 0.000024, 0.000750, 0.000034
100, 2, 0.000025, 0.000819, 0.000031
100, 2, 0.000023, 0.000978, 0.000031
100, 3, 0.000025, 0.001324, 0.000032
100, 3, 0.000024, 0.001570, 0.000032
100, 3, 0.000025, 0.001641, 0.000033
100, 3, 0.000024, 0.001305, 0.000032
100, 3, 0.000025, 0.001093, 0.000033
100, 4, 0.000025, 0.002392, 0.000033
100, 4, 0.000024, 0.001945, 0.000039
100, 4, 0.000024, 0.001881, 0.000032
100, 4, 0.000024, 0.003396, 0.000032
100, 4, 0.000024, 0.001874, 0.000032
100, 5, 0.000024, 0.002608, 0.000032
100, 5, 0.000024, 0.002748, 0.000032
100, 5, 0.000025, 0.002941, 0.000032
100, 5, 0.000041, 0.003920, 0.000032
100, 5, 0.000024, 0.003153, 0.000032
100, 6, 0.000024, 0.004509, 0.000032
100, 6, 0.000025, 0.004718, 0.000032
100, 6, 0.000024, 0.005434, 0.000032
100, 6, 0.000024, 0.004929, 0.000032
100, 6, 0.000023, 0.004254, 0.000031
100, 7, 0.000024, 0.006489, 0.000032
100, 7, 0.000024, 0.006893, 0.000032
100, 7, 0.000024, 0.007491, 0.000031
100, 7, 0.000025, 0.006404, 0.000032
100, 7, 0.000024, 0.005752, 0.000031
100, 8, 0.000025, 0.008467, 0.000032
100, 8, 0.000025, 0.007844, 0.000033
100, 8, 0.000025, 0.007948, 0.000032
100, 8, 0.000024, 0.009974, 0.000033
100, 8, 0.000025, 0.007335, 0.000031
1000, 0, 0.000321, 0.000572, 0.000460
1000, 0, 0.000321, 0.000551, 0.000442
1000, 0, 0.000320, 0.000563, 0.000432
1000, 0, 0.000315, 0.000570, 0.000431
1000, 0, 0.000340, 0.000621, 0.000429
1000, 1, 0.000339, 0.000601, 0.000437
1000, 1, 0.000354, 0.000647, 0.000446
1000, 1, 0.000325, 0.000670, 0.000444
1000, 1, 0.000320, 0.000597, 0.000429
1000, 1, 0.000314, 0.000604, 0.000439
1000, 2, 0.000324, 0.000739, 0.000454
1000, 2, 0.000317, 0.000724, 0.000433
1000, 2, 0.000316, 0.000828, 0.000433
1000, 2, 0.000316, 0.000838, 0.000439
1000, 2, 0.000318, 0.000863, 0.000430
1000, 3, 0.000323, 0.001720, 0.000459
1000, 3, 0.000320, 0.001201, 0.000425
1000, 3, 0.000318, 0.001070, 0.000431
1000, 3, 0.000320, 0.001199, 0.000431
1000, 3, 0.000317, 0.001163, 0.000433
1000, 4, 0.000318, 0.002110, 0.000431
1000, 4, 0.000316, 0.001920, 0.000433
1000, 4, 0.000378, 0.002000, 0.000434
1000, 4, 0.000336, 0.002156, 0.000439
1000, 4, 0.000317, 0.002132, 0.000432
1000, 5, 0.000319, 0.003571, 0.000432
1000, 5, 0.000322, 0.003537, 0.000429
1000, 5, 0.000319, 0.003542, 0.000429
1000, 5, 0.000316, 0.003344, 0.000431
1000, 5, 0.000316, 0.003401, 0.000435
1000, 6, 0.000317, 0.006537, 0.000427
1000, 6, 0.000397, 0.006003, 0.000438
1000, 6, 0.000319, 0.006428, 0.000430
1000, 6, 0.000316, 0.005985, 0.000455
1000, 6, 0.000322, 0.006726, 0.000433
1000, 7, 0.000318, 0.011596, 0.000455
1000, 7, 0.000318, 0.010664, 0.000442
1000, 7, 0.000320, 0.010267, 0.000446
1000, 7, 0.000318, 0.009303, 0.000445
1000, 7, 0.000316, 0.010855, 0.000448
1000, 8, 0.000318, 0.018011, 0.000461
1000, 8, 0.000318, 0.017925, 0.000491
1000, 8, 0.000321, 0.019182, 0.000461
1000, 8, 0.000321, 0.016806, 0.000455
1000, 8, 0.000332, 0.016888, 0.000496
10000, 0, 0.004141, 0.004616, 0.004404
10000, 0, 0.004147, 0.004476, 0.004404
10000, 0, 0.004311, 0.004426, 0.004405
10000, 0, 0.004158, 0.004585, 0.004375
10000, 0, 0.004153, 0.004463, 0.004408
10000, 1, 0.004182, 0.004072, 0.004363
10000, 1, 0.004139, 0.004132, 0.004389
10000, 1, 0.004160, 0.003963, 0.004380
10000, 1, 0.004147, 0.004023, 0.004345
10000, 1, 0.004161, 0.004119, 0.004393
10000, 2, 0.004163, 0.003699, 0.004379
10000, 2, 0.003851, 0.003871, 0.001796
10000, 2, 0.004174, 0.003692, 0.004371
